x_px,y_px,r_px,x_mm,y_mm,r_mm
178,444,17,19.301,48.145,1.843
432,746,17,46.843,80.892,1.843
468,236,17,50.747,25.59,1.843
408,762,17,44.241,82.627,1.843
750,452,16,81.325,49.012,1.735
244,348,8,26.458,37.735,0.867
246,706,17,26.675,76.554,1.843
447,306,17,48.47,33.181,1.843
410,734,16,44.458,79.59,1.735
474,363,13,51.398,39.361,1.41
603,342,11,65.386,37.084,1.193
463,433,6,50.205,46.952,0.651
183,673,16,19.843,72.976,1.735
741,494,12,80.349,53.566,1.301
177,376,13,19.193,40.771,1.41
211,696,17,22.88,75.47,1.843
425,466,11,46.084,50.53,1.193
293,416,6,31.771,45.108,0.651
746,387,14,80.892,41.964,1.518
99,468,11,10.735,50.747,1.193
351,142,8,38.06,15.398,0.867
429,776,16,46.518,84.145,1.735
508,517,11,55.084,56.06,1.193
398,318,9,43.157,34.482,0.976
222,138,11,24.072,14.964,1.193
341,755,9,36.976,81.867,0.976
376,587,9,40.771,63.651,0.976
470,317,17,50.964,34.373,1.843
636,328,17,68.964,35.566,1.843
738,321,11,80.024,34.807,1.193
523,290,9,56.711,31.446,0.976
397,464,14,43.048,50.313,1.518
712,274,11,77.205,29.711,1.193
639,180,12,69.289,19.518,1.301
752,412,11,81.542,44.675,1.193
447,254,13,48.47,27.542,1.41
729,298,11,79.048,32.313,1.193
382,377,10,41.422,40.88,1.084
650,463,9,70.482,50.205,0.976
114,536,6,12.361,58.12,0.651
449,537,9,48.687,58.229,0.976
293,631,6,31.771,68.422,0.651
471,601,8,51.072,65.169,0.867
379,750,14,41.096,81.325,1.518
286,729,11,31.012,79.048,1.193
430,718,9,46.627,77.855,0.976
377,652,8,40.88,70.699,0.867
254,261,6,27.542,28.301,0.651
166,467,6,18.0,50.639,0.651
326,374,14,35.349,40.554,1.518
548,424,14,59.422,45.976,1.518
402,281,8,43.59,30.47,0.867
